workoutId,date,exercise,setIndex,weightKg,reps,rpe,isWarmup
e444fa38-0dd8-4811-93cb-c17b5b6b578a,,Rowing Machine,1,0,0,,False
e444fa38-0dd8-4811-93cb-c17b5b6b578a,,Cycling,1,0,0,,False
e444fa38-0dd8-4811-93cb-c17b5b6b578a,,Treadmill,1,0,0,,False
59824213-a5b9-4881-99d2-529fef50acd8,,Treadmill,1,0,0,,False
59824213-a5b9-4881-99d2-529fef50acd8,,Cycling,1,0,0,,False
25b9b1c4-d961-4919-9240-700347326867,,Treadmill,1,0,0,,False
25b9b1c4-d961-4919-9240-700347326867,,Romanian Deadlift (Barbell),1,0,8,,False
25b9b1c4-d961-4919-9240-700347326867,,Romanian Deadlift (Barbell),2,0,7,8,False
25b9b1c4-d961-4919-9240-700347326867,,Romanian Deadlift (Barbell),3,0,7,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Bench Press (Smith Machine),1,0,7,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Bench Press (Smith Machine),2,0,7,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Bench Press (Smith Machine),3,0,5,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Bench Press (Smith Machine),4,0,12,,False
25b9b1c4-d961-4919-9240-700347326867,,Seated Leg Curl (Machine),1,0,12,,False
25b9b1c4-d961-4919-9240-700347326867,,Lying Leg Curl (Machine),1,0,9,,False
25b9b1c4-d961-4919-9240-700347326867,,Lying Leg Curl (Machine),2,0,7,,False
25b9b1c4-d961-4919-9240-700347326867,,Lying Leg Curl (Machine),3,0,6,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Chest Supported Row Machine,1,0,10,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Chest Supported Row Machine,2,0,8,,False
25b9b1c4-d961-4919-9240-700347326867,,Incline Chest Supported Row Machine,3,0,12,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Treadmill,1,0,0,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Stretching,1,0,0,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Hip Abduction (Machine),1,0,15,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Hip Abduction (Machine),2,0,10,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Hip Abduction (Machine),3,0,16,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Hip Abduction (Machine),4,0,15,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Seated Cable Row - V Grip (Cable),1,0,15,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Seated Cable Row - V Grip (Cable),2,0,12,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Seated Cable Row - V Grip (Cable),3,0,12,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Lat Pulldown (Cable),1,0,12,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Lat Pulldown (Cable),2,0,4,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Lat Pulldown (Cable),3,0,10,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Chest Dip,1,0,10,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Chest Dip,2,0,5,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Chest Dip,3,0,8,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Bicep Curl (Barbell),1,0,15,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Bicep Curl (Barbell),2,0,10,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Bicep Curl (Barbell),3,0,9,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Overhead Cable Tricep Extension,1,0,12,,False
9bbd7a3a-579a-45aa-a52a-1f371b927f21,,Overhead Cable Tricep Extension,2,0,11,,False
6a66bd26-900a-4f75-ac6c-4ab9390276df,,Rowing Machine,1,0,0,,False
6a66bd26-900a-4f75-ac6c-4ab9390276df,,Treadmill,1,0,0,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Squat (Smith Machine),1,0,7,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Squat (Smith Machine),2,0,9,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Squat (Smith Machine),3,0,7,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Squat (Smith Machine),4,0,6,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Squat (Smith Machine),5,0,12,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Standing Calf Raise (Machine),1,0,12,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Standing Calf Raise (Machine),2,0,10,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Standing Calf Raise (Machine),3,0,9,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Standing Calf Raise (Machine),4,0,8,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Standing Calf Raise (Machine),5,0,9,,False
a919a279-da66-42db-8c06-3d3205bc109b,,Treadmill,1,0,0,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),1,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),2,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),3,0,5,10,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),4,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),5,0,5,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Dumbbell),6,0,12,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Bench Plate Machine,1,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Chest Press (Machine),1,0,9,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Chest Press (Machine),2,0,10,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Chest Press (Machine),3,0,10,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Chest Press (Machine),4,0,8,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Smith Machine),1,0,8,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Smith Machine),2,0,5,10,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Smith Machine),3,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Incline Bench Press (Smith Machine),4,0,7,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Overhead Cable Tricep Extension,1,0,6,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Overhead Cable Tricep Extension,2,0,8,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Overhead Cable Tricep Extension,3,0,11,10,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Overhead Cable Tricep Extension,4,0,9,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Seated Lateral Raise (Dumbbell),1,0,16,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Seated Lateral Raise (Dumbbell),2,0,16,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Seated Lateral Raise (Dumbbell),3,0,15,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Seated Lateral Raise (Dumbbell),4,0,16,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Preacher Curl (Barbell),1,0,13,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Preacher Curl (Barbell),2,0,8,,False
95d888f2-c04f-4879-91d9-81c4a488f05a,,Preacher Curl (Barbell),3,0,6,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Treadmill,1,0,0,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Bench Press (Barbell),1,0,15,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Bench Press (Barbell),2,0,5,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Bench Press (Barbell),3,0,3,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Bench Press (Barbell),4,0,5,,False
50b7f0b0-875b-4442-a820-6a856e2a4ef8,,Bench Press (Barbell),5,0,6,,False
45c10073-2261-48a6-8a6a-01e155fe9729,,Treadmill,1,0,0,,False
45c10073-2261-48a6-8a6a-01e155fe9729,,Stretching,1,0,0,,False
45c10073-2261-48a6-8a6a-01e155fe9729,,Hip Abduction (Machine),1,0,17,,False
45c10073-2261-48a6-8a6a-01e155fe9729,,Hip Abduction (Machine),2,0,15,,False
45c10073-2261-48a6-8a6a-01e155fe9729,,Hip Abduction (Machine),3,0,17,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bent Over Row (Barbell),1,0,8,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bent Over Row (Barbell),2,0,8,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bent Over Row (Barbell),3,0,6,9,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chin Up (Weighted),1,0,6,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chin Up (Weighted),2,0,6,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chest Dip (Weighted),1,0,7,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chest Dip (Weighted),2,0,10,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Lat Pulldown (Cable),1,0,8,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Lat Pulldown (Cable),2,0,11,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Kroc Row,1,0,11,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Kroc Row,2,0,10,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chest Supported Reverse Fly (Dumbbell),1,0,9,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chest Supported Reverse Fly (Dumbbell),2,0,13,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Chest Supported Reverse Fly (Dumbbell),3,0,14,9.5,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bicep Curl (Cable),1,0,13,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bicep Curl (Cable),2,0,12,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bicep Curl (Cable),3,0,9,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Bicep Curl (Cable),4,0,7,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Preacher Curl (Barbell),1,0,8,,False
7cb02ecd-cb53-4be7-8006-ef288320f71d,,Preacher Curl (Barbell),2,0,9,,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Warm Up,1,0,0,,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Bench Press (Barbell),1,0,20,,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Bench Press (Barbell),2,0,8,6,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Bench Press (Barbell),3,0,8,6,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Bench Press (Barbell),4,0,8,7.5,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Fly Plate Machine,1,0,15,7,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Fly Plate Machine,2,0,15,8,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Fly Plate Machine,3,0,13,8.5,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Upright Row (Barbell),1,0,15,7.5,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Upright Row (Barbell),2,0,15,,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Upright Row (Barbell),3,0,13,8,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Seated Lateral Raise (Dumbbell),1,0,20,6,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Seated Lateral Raise (Dumbbell),2,0,20,7,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Seated Lateral Raise (Dumbbell),3,0,20,8.5,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Triceps Rope Pushdown,1,0,12,6,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Triceps Rope Pushdown,2,0,7,9,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Triceps Rope Pushdown,3,0,10,10,False
64f08878-b3ac-4452-8fa9-76c046eac1c5,,Triceps Rope Pushdown,4,0,6,10,False
